epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,135.02,2.18283,1.58887,2.41644,0.02142,0.76114,0.85236,0.83194,0.42699,1.51862,1.10059,1.91124,0.00249,0.000665165,0.000665165,0.000665165
2,233.768,1.76435,1.18222,1.75622,0.01355,0.82956,0.88541,0.88859,0.4958,1.32105,1.00727,1.66904,0.00178,0.00130436,0.00130436,0.00130436
3,394.769,1.6328,1.14086,1.62226,0.01123,0.8487,0.83176,0.89188,0.50367,1.31486,0.95372,1.53356,0.00184,0.00191606,0.00191606,0.00191606
4,551.422,1.57265,1.09886,1.5638,0.01048,0.84117,0.86953,0.90016,0.56194,1.23872,0.88518,1.39301,0.00151,0.00187625,0.00187625,0.00187625
5,711.099,1.54005,1.06874,1.50678,0.00916,0.89516,0.86853,0.92554,0.53408,1.29391,0.84353,1.32203,0.00201,0.001835,0.001835,0.001835
6,859.483,1.48663,1.03894,1.46176,0.00915,0.90904,0.87382,0.93184,0.60167,1.12548,0.75396,1.27006,0.00161,0.00179375,0.00179375,0.00179375
7,1031.28,1.47495,1.02415,1.4272,0.00817,0.88534,0.92361,0.94715,0.61851,1.15614,0.74654,1.24354,0.00176,0.0017525,0.0017525,0.0017525
8,1208.63,1.42092,0.99659,1.3896,0.00762,0.91534,0.91884,0.95583,0.60586,1.16653,0.7656,1.22953,0.00139,0.00171125,0.00171125,0.00171125
9,1364.52,1.39623,0.9863,1.37791,0.00747,0.92611,0.89289,0.95436,0.65964,1.02811,0.70517,1.19119,0.00135,0.00167,0.00167,0.00167
10,1491.4,1.36029,0.97221,1.34169,0.00751,0.91862,0.90987,0.95244,0.65569,1.03462,0.68501,1.16237,0.00134,0.00162875,0.00162875,0.00162875
11,1613.55,1.34903,0.96341,1.32982,0.00706,0.86309,0.92833,0.93475,0.61121,1.1063,0.75752,1.21195,0.00131,0.0015875,0.0015875,0.0015875
12,1763.51,1.34897,0.96948,1.33696,0.00651,0.92246,0.9191,0.95568,0.64897,1.02766,0.6765,1.14174,0.00117,0.00154625,0.00154625,0.00154625
13,1902.71,1.35717,0.96722,1.32386,0.0076,0.91054,0.90429,0.94752,0.67647,0.95103,0.655,1.09818,0.00101,0.001505,0.001505,0.001505
14,2051.31,1.31221,0.95374,1.30082,0.00642,0.92657,0.90441,0.96368,0.68086,0.94842,0.6657,1.10704,0.00103,0.00146375,0.00146375,0.00146375
15,2245.72,1.31284,0.94509,1.30169,0.00676,0.92971,0.91073,0.9587,0.66121,0.98465,0.68318,1.08936,0.00106,0.0014225,0.0014225,0.0014225
16,2414.72,1.29266,0.93513,1.27627,0.00654,0.9283,0.91127,0.9649,0.6919,0.92926,0.61576,1.0805,0.00099,0.00138125,0.00138125,0.00138125
